TS,label,value,class,,,,,,,,,
2015-05-27 00:00:00,N,38.781006,0,,,,,,,,,
2015-07-03 00:00:00,N,8.92498799999999,0,,,,,,,,,N.PG.N Classe 1 
2016-07-16 00:00:00,PG,226.041016,1,,,,,,,,,N.PG Classe 1
2016-07-17 00:00:00,N,0,0,,,,,,,,,
2016-07-18 00:00:00,N,0,0,,,,,,,,,
2016-07-19 00:00:00,N,0,0,,,,,,,,,N.PN.PG.PN.N  Classe 4
2016-07-20 00:00:00,N,0,0,,,,,,,,,N.PG.PN.N       Classe 4 
2016-07-21 00:00:00,N,0,0,,,,,,,,,
2016-07-22 00:00:00,N,0,0,,,,,,,,,
2016-07-23 00:00:00,N,0,0,,,,,,,,,
2016-07-24 00:00:00,N,0,0,,,,,,,,,
2016-07-25 00:00:00,N,0,0,,,,,,,,,
2016-07-26 00:00:00,N,0,0,,,,,,,,,
2016-07-27 00:00:00,N,0,0,,,,,,,,,
2016-07-28 00:00:00,N,0,0,,,,,,,,,
2016-07-29 00:00:00,N,0,0,,,,,,,,,
2016-07-30 00:00:00,N,0,0,,,,,,,,,
2016-07-31 00:00:00,N,0,0,,,,,,,,,
2016-08-01 00:00:00,N,0,0,,,,,,,,,
2016-08-02 00:00:00,N,0,0,,,,,,,,,
2016-08-03 00:00:00,N,0,0,,,,,,,,,
2016-08-04 00:00:00,N,0,0,,,,,,,,,
2016-08-05 00:00:00,N,0,0,,,,,,,,,
2016-08-06 00:00:00,N,0,0,,,,,,,,,
2016-08-07 00:00:00,N,0,0,,,,,,,,,
2016-08-08 00:00:00,N,0,0,,,,,,,,,
2016-08-09 00:00:00,N,0,0,,,,,,,,,
2016-08-10 00:00:00,N,0,0,,,,,,,,,
2016-08-11 00:00:00,N,0,0,,,,,,,,,
2016-08-12 00:00:00,N,0,0,,,,,,,,,
2016-08-13 00:00:00,N,0,0,,,,,,,,,
2016-08-14 00:00:00,N,0,0,,,,,,,,,
2016-08-15 00:00:00,N,0,0,,,,,,,,,
2016-08-16 00:00:00,N,0,0,,,,,,,,,
2016-08-17 00:00:00,N,0,0,,,,,,,,,
2016-08-18 00:00:00,N,0,0,,,,,,,,,
2017-02-24 00:00:00,PG,149.482055,1,,,,,,,,,
2017-02-27 00:00:00,N,0,0,,,,,,,,,
2017-02-28 00:00:00,N,0,0,,,,,,,,,
2017-03-01 00:00:00,N,0,0,,,,,,,,,
2017-03-02 00:00:00,N,0,0,,,,,,,,,
2017-03-03 00:00:00,N,0,0,,,,,,,,,
2017-03-04 00:00:00,N,0,0,,,,,,,,,
2017-03-09 00:00:00,N,1.18896499999983,0,,,,,,,,,
2017-03-12 00:00:00,N,0.406983000000082,0,,,,,,,,,
2017-03-13 00:00:00,N,0,0,,,,,,,,,
2017-03-14 00:00:00,N,0,0,,,,,,,,,
2017-03-15 00:00:00,N,0,0,,,,,,,,,
2017-03-16 00:00:00,N,0,0,,,,,,,,,
2017-03-17 00:00:00,N,0,0,,,,,,,,,
2017-03-18 00:00:00,N,0,0,,,,,,,,,
2017-03-19 00:00:00,N,0,0,,,,,,,,,
2017-03-20 00:00:00,N,0,0,,,,,,,,,
2017-03-21 00:00:00,N,0,0,,,,,,,,,
2017-03-22 00:00:00,N,0,0,,,,,,,,,
2017-03-23 00:00:00,N,0,0,,,,,,,,,
2017-03-24 00:00:00,N,0,0,,,,,,,,,
2017-03-25 00:00:00,N,0.004028000000062,0,,,,,,,,,
2017-03-30 00:00:00,N,1.75598100000002,0,,,,,,,,,
2017-03-31 00:00:00,N,0,0,,,,,,,,,
2017-04-01 00:00:00,N,0,0,,,,,,,,,
2017-04-02 00:00:00,N,0,0,,,,,,,,,
2017-04-03 00:00:00,N,0,0,,,,,,,,,
2017-04-04 00:00:00,N,0,0,,,,,,,,,
2017-04-05 00:00:00,N,0,0,,,,,,,,,
2017-04-06 00:00:00,N,0,0,,,,,,,,,
2017-04-07 00:00:00,N,0,0,,,,,,,,,
2017-04-08 00:00:00,N,0,0,,,,,,,,,
2017-04-09 00:00:00,N,0,0,,,,,,,,,
2017-04-11 00:00:00,N,0.040038999999979,0,,,,,,,,,
2017-04-12 00:00:00,N,0,0,,,,,,,,,
2017-04-13 00:00:00,N,0,0,,,,,,,,,
2017-04-14 00:00:00,N,0,0,,,,,,,,,
2017-04-15 00:00:00,N,0,0,,,,,,,,,
2017-04-16 00:00:00,N,0,0,,,,,,,,,
2017-04-17 00:00:00,N,0,0,,,,,,,,,
2017-04-18 00:00:00,N,0,0,,,,,,,,,
2017-04-21 00:00:00,N,0.114990999999918,0,,,,,,,,,
2017-04-22 00:00:00,N,0,0,,,,,,,,,
2017-04-23 00:00:00,N,0,0,,,,,,,,,
2017-04-24 00:00:00,N,0,0,,,,,,,,,
2017-04-25 00:00:00,N,0,0,,,,,,,,,
2017-04-26 00:00:00,N,0,0,,,,,,,,,
2017-04-27 00:00:00,N,0,0,,,,,,,,,
2017-04-28 00:00:00,N,0,0,,,,,,,,,
2017-04-29 00:00:00,N,0,0,,,,,,,,,
2017-04-30 00:00:00,N,0,0,,,,,,,,,
2017-05-01 00:00:00,N,0,0,,,,,,,,,
2017-05-02 00:00:00,N,0,0,,,,,,,,,
2017-05-03 00:00:00,N,0,0,,,,,,,,,
2017-05-04 00:00:00,N,0,0,,,,,,,,,
2017-05-05 00:00:00,N,0,0,,,,,,,,,
2017-05-06 00:00:00,N,0,0,,,,,,,,,
2017-05-07 00:00:00,N,0,0,,,,,,,,,
2017-05-08 00:00:00,N,0,0,,,,,,,,,
2017-05-09 00:00:00,N,0,0,,,,,,,,,
2017-05-10 00:00:00,N,0,0,,,,,,,,,
2017-05-11 00:00:00,N,0,0,,,,,,,,,
2017-05-12 00:00:00,N,0,0,,,,,,,,,
2017-05-13 00:00:00,N,0,0,,,,,,,,,
2017-05-14 00:00:00,N,0,0,,,,,,,,,
2017-05-15 00:00:00,N,0,0,,,,,,,,,
2017-05-16 00:00:00,N,0,0,,,,,,,,,
2017-05-17 00:00:00,N,0,0,,,,,,,,,
2017-05-18 00:00:00,N,0,0,,,,,,,,,
2017-05-19 00:00:00,N,0,0,,,,,,,,,
2017-05-20 00:00:00,N,0,0,,,,,,,,,
2017-05-21 00:00:00,N,0,0,,,,,,,,,
2017-05-22 00:00:00,N,0,0,,,,,,,,,
2017-05-23 00:00:00,N,0,0,,,,,,,,,
2017-05-24 00:00:00,N,0,0,,,,,,,,,
2017-05-25 00:00:00,N,0,0,,,,,,,,,
2017-05-26 00:00:00,N,0,0,,,,,,,,,
2017-05-27 00:00:00,N,0,0,,,,,,,,,
2017-05-28 00:00:00,N,0,0,,,,,,,,,
2017-05-29 00:00:00,N,0,0,,,,,,,,,
2017-05-30 00:00:00,N,0,0,,,,,,,,,
2017-05-31 00:00:00,N,0,0,,,,,,,,,
2017-06-01 00:00:00,N,0,0,,,,,,,,,
2017-06-02 00:00:00,N,0,0,,,,,,,,,
2017-06-03 00:00:00,N,0,0,,,,,,,,,
2017-06-04 00:00:00,N,0,0,,,,,,,,,
2017-06-05 00:00:00,N,0,0,,,,,,,,,
2017-06-06 00:00:00,N,0,0,,,,,,,,,
2017-06-07 00:00:00,N,0,0,,,,,,,,,
2017-06-08 00:00:00,N,0,0,,,,,,,,,
2017-06-09 00:00:00,N,0,0,,,,,,,,,
2017-06-10 00:00:00,N,0,0,,,,,,,,,
2017-06-11 00:00:00,N,0,0,,,,,,,,,
2017-06-12 00:00:00,N,0,0,,,,,,,,,
2017-06-13 00:00:00,N,0,0,,,,,,,,,
2017-06-14 00:00:00,N,0,0,,,,,,,,,
2017-06-15 00:00:00,N,0,0,,,,,,,,,
2017-06-16 00:00:00,N,0,0,,,,,,,,,
2017-06-17 00:00:00,N,0,0,,,,,,,,,
2017-06-18 00:00:00,N,0,0,,,,,,,,,
2017-06-19 00:00:00,N,0,0,,,,,,,,,
2017-06-20 00:00:00,N,0,0,,,,,,,,,
2017-06-21 00:00:00,N,0,0,,,,,,,,,
2017-06-22 00:00:00,N,0,0,,,,,,,,,
2017-06-23 00:00:00,N,0,0,,,,,,,,,
2017-06-24 00:00:00,N,0,0,,,,,,,,,
2017-06-25 00:00:00,N,0,0,,,,,,,,,
2017-06-26 00:00:00,N,0,0,,,,,,,,,
2017-06-27 00:00:00,N,0,0,,,,,,,,,
2017-06-28 00:00:00,N,0,0,,,,,,,,,
2017-06-29 00:00:00,N,0,0,,,,,,,,,
2017-07-06 00:00:00,N,0.896972000000005,0,,,,,,,,,
2017-07-07 00:00:00,N,0,0,,,,,,,,,
2017-07-08 00:00:00,N,0,0,,,,,,,,,
2017-07-09 00:00:00,N,0,0,,,,,,,,,
2017-07-10 00:00:00,N,0,0,,,,,,,,,
2017-07-11 00:00:00,N,0,0,,,,,,,,,
2017-07-12 00:00:00,N,0,0,,,,,,,,,
2017-07-13 00:00:00,N,0,0,,,,,,,,,
2017-07-14 00:00:00,N,0,0,,,,,,,,,
2017-07-15 00:00:00,N,0,0,,,,,,,,,
2017-07-16 00:00:00,N,0,0,,,,,,,,,
2017-07-17 00:00:00,N,0,0,,,,,,,,,
2017-07-18 00:00:00,N,0,0,,,,,,,,,
2017-07-19 00:00:00,N,0,0,,,,,,,,,
2017-07-20 00:00:00,N,0,0,,,,,,,,,
2017-07-21 00:00:00,N,0,0,,,,,,,,,
2017-07-22 00:00:00,N,0,0,,,,,,,,,
2017-07-23 00:00:00,N,0,0,,,,,,,,,
2017-07-24 00:00:00,N,0,0,,,,,,,,,
2017-07-25 00:00:00,N,0,0,,,,,,,,,
2017-07-26 00:00:00,N,0,0,,,,,,,,,
2017-07-27 00:00:00,N,0,0,,,,,,,,,
2017-07-28 00:00:00,N,0,0,,,,,,,,,
2017-07-29 00:00:00,N,0,0,,,,,,,,,
2017-07-30 00:00:00,N,0,0,,,,,,,,,
2017-07-31 00:00:00,N,0,0,,,,,,,,,
2017-08-01 00:00:00,N,0,0,,,,,,,,,
2017-08-02 00:00:00,N,0,0,,,,,,,,,
2017-08-03 00:00:00,N,0,0,,,,,,,,,
2017-08-04 00:00:00,N,0,0,,,,,,,,,
2017-08-05 00:00:00,N,0,0,,,,,,,,,
2017-08-06 00:00:00,N,0,0,,,,,,,,,
2017-08-07 00:00:00,N,0,0,,,,,,,,,
2017-08-08 00:00:00,N,0,0,,,,,,,,,
2017-08-09 00:00:00,N,0,0,,,,,,,,,
2017-08-10 00:00:00,N,0,0,,,,,,,,,
2017-08-11 00:00:00,N,0,0,,,,,,,,,
2017-08-12 00:00:00,N,0,0,,,,,,,,,
2017-08-13 00:00:00,N,0,0,,,,,,,,,
2017-08-14 00:00:00,N,0,0,,,,,,,,,
2017-08-15 00:00:00,N,0,0,,,,,,,,,
2017-08-16 00:00:00,N,0,0,,,,,,,,,
2017-08-17 00:00:00,N,0,0,,,,,,,,,
2017-08-18 00:00:00,N,0,0,,,,,,,,,
2017-08-19 00:00:00,N,0,0,,,,,,,,,
2017-08-20 00:00:00,N,0,0,,,,,,,,,
2017-08-21 00:00:00,N,0,0,,,,,,,,,
2017-08-22 00:00:00,N,0,0,,,,,,,,,
2017-08-23 00:00:00,N,0,0,,,,,,,,,
2017-08-24 00:00:00,N,0,0,,,,,,,,,
2017-08-25 00:00:00,N,0,0,,,,,,,,,
2017-08-26 00:00:00,N,0,0,,,,,,,,,
2017-08-27 00:00:00,N,0,0,,,,,,,,,
2017-08-28 00:00:00,N,0,0,,,,,,,,,
2017-08-29 00:00:00,N,0,0,,,,,,,,,
2017-08-30 00:00:00,N,0,0,,,,,,,,,
2017-08-31 00:00:00,N,0,0,,,,,,,,,
2017-09-01 00:00:00,N,0,0,,,,,,,,,
2017-09-02 00:00:00,N,0,0,,,,,,,,,
2017-09-03 00:00:00,N,0,0,,,,,,,,,
2017-09-04 00:00:00,N,0,0,,,,,,,,,
2017-09-05 00:00:00,N,0,0,,,,,,,,,
2017-09-06 00:00:00,N,0,0,,,,,,,,,
2017-09-07 00:00:00,N,0,0,,,,,,,,,
2017-09-08 00:00:00,N,0,0,,,,,,,,,
2017-09-09 00:00:00,N,0,0,,,,,,,,,
2017-09-10 00:00:00,N,0,0,,,,,,,,,
2017-09-11 00:00:00,N,0,0,,,,,,,,,
2017-09-12 00:00:00,N,0,0,,,,,,,,,
2017-09-13 00:00:00,N,0,0,,,,,,,,,
2017-09-14 00:00:00,N,0,0,,,,,,,,,
2017-09-15 00:00:00,N,0,0,,,,,,,,,
2017-09-16 00:00:00,N,0,0,,,,,,,,,
2017-09-17 00:00:00,N,0,0,,,,,,,,,
2017-09-18 00:00:00,N,0,0,,,,,,,,,
2017-09-19 00:00:00,N,0,0,,,,,,,,,
2017-09-20 00:00:00,N,0,0,,,,,,,,,
2017-09-21 00:00:00,N,0,0,,,,,,,,,
2017-09-22 00:00:00,N,0,0,,,,,,,,,
2017-09-23 00:00:00,N,0,0,,,,,,,,,
2017-09-24 00:00:00,N,0,0,,,,,,,,,
2017-09-25 00:00:00,N,0,0,,,,,,,,,
2017-09-26 00:00:00,N,0,0,,,,,,,,,
2017-09-27 00:00:00,N,0,0,,,,,,,,,
2017-09-28 00:00:00,N,0,0,,,,,,,,,
2017-09-29 00:00:00,N,0,0,,,,,,,,,
2017-09-30 00:00:00,N,0,0,,,,,,,,,
2017-10-01 00:00:00,N,0,0,,,,,,,,,
2017-10-02 00:00:00,N,0,0,,,,,,,,,
2017-10-03 00:00:00,N,0,0,,,,,,,,,
2017-10-04 00:00:00,N,0,0,,,,,,,,,
2017-10-05 00:00:00,N,0,0,,,,,,,,,
2017-10-06 00:00:00,N,0,0,,,,,,,,,
2017-10-07 00:00:00,N,0,0,,,,,,,,,
2017-10-08 00:00:00,N,0,0,,,,,,,,,
2017-10-09 00:00:00,N,0,0,,,,,,,,,
2017-10-11 00:00:00,N,0.005982000000131,0,,,,,,,,,
2017-10-12 00:00:00,N,0,0,,,,,,,,,
2017-10-13 00:00:00,N,0,0,,,,,,,,,
2017-10-14 00:00:00,N,0,0,,,,,,,,,
2017-10-15 00:00:00,N,0,0,,,,,,,,,
2017-10-16 00:00:00,N,0,0,,,,,,,,,
2017-10-17 00:00:00,N,0,0,,,,,,,,,
2017-10-18 00:00:00,N,0,0,,,,,,,,,
2017-10-19 00:00:00,N,0,0,,,,,,,,,
2017-10-20 00:00:00,N,0,0,,,,,,,,,
2017-10-21 00:00:00,N,0,0,,,,,,,,,
2017-10-22 00:00:00,N,0,0,,,,,,,,,
2017-10-23 00:00:00,N,0,0,,,,,,,,,
2017-10-25 00:00:00,N,0.005980999999792,0,,,,,,,,,
2017-10-26 00:00:00,N,0,0,,,,,,,,,
2017-10-27 00:00:00,N,0,0,,,,,,,,,
2017-10-28 00:00:00,N,0,0,,,,,,,,,
2018-02-25 00:00:00,N,131.601074,0,,,,,,,,,
2018-04-21 00:00:00,N,55.104981,0,,,,,,,,,
2018-04-22 00:00:00,N,0,0,,,,,,,,,
2018-04-23 00:00:00,N,0,0,,,,,,,,,
2018-04-24 00:00:00,N,0,0,,,,,,,,,
2018-04-25 00:00:00,N,0,0,,,,,,,,,
2018-04-26 00:00:00,N,0,0,,,,,,,,,
2018-04-27 00:00:00,N,0,0,,,,,,,,,
2018-04-28 00:00:00,N,0,0,,,,,,,,,
2018-04-29 00:00:00,N,0,0,,,,,,,,,
2018-04-30 00:00:00,N,0,0,,,,,,,,,
2018-05-01 00:00:00,N,0,0,,,,,,,,,
2018-05-02 00:00:00,N,0,0,,,,,,,,,
2018-05-03 00:00:00,N,0,0,,,,,,,,,
2018-05-04 00:00:00,N,0,0,,,,,,,,,
2018-05-05 00:00:00,N,0,0,,,,,,,,,
2018-05-06 00:00:00,N,0,0,,,,,,,,,
2018-05-07 00:00:00,N,0,0,,,,,,,,,
2018-05-08 00:00:00,N,0,0,,,,,,,,,
2018-05-09 00:00:00,N,0,0,,,,,,,,,
2018-05-10 00:00:00,N,0,0,,,,,,,,,
2018-05-11 00:00:00,N,0,0,,,,,,,,,
2018-05-12 00:00:00,N,0,0,,,,,,,,,
2018-05-13 00:00:00,N,0,0,,,,,,,,,
2018-05-21 00:00:00,N,3.16101099999992,0,,,,,,,,,
2018-05-23 00:00:00,N,0.192016000000194,0,,,,,,,,,
2018-05-24 00:00:00,N,0,0,,,,,,,,,
2018-05-25 00:00:00,N,0,0,,,,,,,,,
2018-05-26 00:00:00,N,0,0,,,,,,,,,
2018-05-27 00:00:00,N,0,0,,,,,,,,,
2018-05-28 00:00:00,N,0,0,,,,,,,,,
2018-05-29 00:00:00,N,0,0,,,,,,,,,
2018-05-30 00:00:00,N,0,0,,,,,,,,,
2018-05-31 00:00:00,N,0,0,,,,,,,,,
2018-06-01 00:00:00,N,0,0,,,,,,,,,
2018-06-02 00:00:00,N,0,0,,,,,,,,,
2018-06-03 00:00:00,N,0,0,,,,,,,,,
2018-06-04 00:00:00,N,0,0,,,,,,,,,
2018-06-05 00:00:00,N,0,0,,,,,,,,,
2018-06-06 00:00:00,N,0,0,,,,,,,,,
2018-06-07 00:00:00,N,0,0,,,,,,,,,
2018-06-08 00:00:00,N,0,0,,,,,,,,,
2018-06-09 00:00:00,N,0,0,,,,,,,,,
2018-06-10 00:00:00,N,0,0,,,,,,,,,
2018-06-11 00:00:00,N,0,0,,,,,,,,,
2018-06-12 00:00:00,N,0,0,,,,,,,,,
2018-06-13 00:00:00,N,0,0,,,,,,,,,
2018-06-14 00:00:00,N,0,0,,,,,,,,,
2018-06-15 00:00:00,N,0,0,,,,,,,,,
2018-06-16 00:00:00,N,0,0,,,,,,,,,
2018-06-17 00:00:00,N,0,0,,,,,,,,,
2018-06-18 00:00:00,N,0,0,,,,,,,,,
2018-06-19 00:00:00,N,0,0,,,,,,,,,
2018-06-20 00:00:00,N,0,0,,,,,,,,,
2018-06-21 00:00:00,N,0,0,,,,,,,,,
2018-06-22 00:00:00,N,0,0,,,,,,,,,
2018-06-23 00:00:00,N,0,0,,,,,,,,,
2018-06-24 00:00:00,N,0,0,,,,,,,,,
2018-06-25 00:00:00,N,0,0,,,,,,,,,
2018-06-26 00:00:00,N,0,0,,,,,,,,,
2018-06-27 00:00:00,N,0,0,,,,,,,,,
2018-06-28 00:00:00,N,0,0,,,,,,,,,
2018-06-29 00:00:00,N,0,0,,,,,,,,,
2018-06-30 00:00:00,N,0,0,,,,,,,,,
2018-07-01 00:00:00,N,0,0,,,,,,,,,
2018-07-02 00:00:00,N,0,0,,,,,,,,,
2018-07-03 00:00:00,N,0,0,,,,,,,,,
2018-07-04 00:00:00,N,0,0,,,,,,,,,
2018-07-05 00:00:00,N,0,0,,,,,,,,,
2018-07-06 00:00:00,N,0,0,,,,,,,,,
2018-07-07 00:00:00,N,0,0,,,,,,,,,
2018-07-08 00:00:00,N,0,0,,,,,,,,,
2018-07-09 00:00:00,N,0,0,,,,,,,,,
2018-07-10 00:00:00,N,0,0,,,,,,,,,
2018-07-11 00:00:00,N,0,0,,,,,,,,,
2018-07-12 00:00:00,N,0,0,,,,,,,,,
2018-07-13 00:00:00,N,0,0,,,,,,,,,
2018-07-14 00:00:00,N,0,0,,,,,,,,,
2018-07-15 00:00:00,N,0,0,,,,,,,,,
2018-07-16 00:00:00,N,0,0,,,,,,,,,
2018-07-17 00:00:00,N,0,0,,,,,,,,,
2018-07-18 00:00:00,N,0,0,,,,,,,,,
2018-07-19 00:00:00,PN,-1301.252075,2,,,,,,,,,
2018-07-20 00:00:00,PG,1301.25,2,,,,,,,,,
2018-07-21 00:00:00,PN,-1301.25,2,,,,,,,,,
2018-07-22 00:00:00,N,0,0,,,,,,,,,
2018-07-23 00:00:00,N,0,0,,,,,,,,,
2018-07-24 00:00:00,N,0,0,,,,,,,,,
2018-07-25 00:00:00,N,0,0,,,,,,,,,
2018-07-26 00:00:00,N,0,0,,,,,,,,,
2018-07-27 00:00:00,PG,1301.25,2,,,,,,,,,
2018-07-28 00:00:00,PN,-1301.25,2,,,,,,,,,
2018-07-29 00:00:00,N,0,0,,,,,,,,,
2018-07-30 00:00:00,N,0,0,,,,,,,,,
2018-07-31 00:00:00,N,0,0,,,,,,,,,
2018-08-01 00:00:00,N,0,0,,,,,,,,,
2018-08-02 00:00:00,N,0,0,,,,,,,,,
2018-08-03 00:00:00,PG,1301.25,2,,,,,,,,,
2018-08-04 00:00:00,PN,-1301.25,2,,,,,,,,,
2018-08-05 00:00:00,N,0,0,,,,,,,,,
2018-08-06 00:00:00,N,0,0,,,,,,,,,
2018-08-07 00:00:00,N,0,0,,,,,,,,,
2018-08-08 00:00:00,N,0,0,,,,,,,,,
2018-08-09 00:00:00,N,0,0,,,,,,,,,
2018-08-10 00:00:00,PG,1301.25,2,,,,,,,,,
2018-08-11 00:00:00,PN,-1301.25,2,,,,,,,,,
2018-08-12 00:00:00,N,0,0,,,,,,,,,
2018-08-13 00:00:00,N,0,0,,,,,,,,,
2018-08-14 00:00:00,N,0,0,,,,,,,,,
2018-08-15 00:00:00,N,0,0,,,,,,,,,
2018-08-16 00:00:00,N,0,0,,,,,,,,,
2018-08-17 00:00:00,PG,1301.25,2,,,,,,,,,
2018-08-18 00:00:00,PN,-1301.25,2,,,,,,,,,
2018-08-19 00:00:00,N,0,0,,,,,,,,,
2018-08-20 00:00:00,N,0,0,,,,,,,,,
2018-08-21 00:00:00,N,0,0,,,,,,,,,
2018-08-22 00:00:00,N,0,0,,,,,,,,,
2018-08-23 00:00:00,N,0,0,,,,,,,,,
2018-08-24 00:00:00,PG,1301.25,2,,,,,,,,,
2018-08-25 00:00:00,PN,-1301.25,2,,,,,,,,,
2018-08-26 00:00:00,N,0,0,,,,,,,,,
2018-08-27 00:00:00,N,0,0,,,,,,,,,
2018-08-28 00:00:00,N,0,0,,,,,,,,,
2018-08-29 00:00:00,N,0,0,,,,,,,,,
2018-08-30 00:00:00,N,0,0,,,,,,,,,
2018-08-31 00:00:00,PG,1301.25,2,,,,,,,,,
2018-09-01 00:00:00,PN,-1301.25,2,,,,,,,,,
2018-09-02 00:00:00,N,0,0,,,,,,,,,
2018-09-03 00:00:00,N,0,0,,,,,,,,,
2018-09-04 00:00:00,N,0,0,,,,,,,,,
2018-09-05 00:00:00,N,0,0,,,,,,,,,
2018-09-06 00:00:00,N,0,0,,,,,,,,,
2018-09-07 00:00:00,N,0,0,,,,,,,,,
2018-09-08 00:00:00,N,0,0,,,,,,,,,
2018-09-09 00:00:00,N,0,0,,,,,,,,,
2018-09-10 00:00:00,N,0,0,,,,,,,,,
2018-09-11 00:00:00,N,0,0,,,,,,,,,
2018-09-12 00:00:00,N,0,0,,,,,,,,,
2018-09-13 00:00:00,N,0,0,,,,,,,,,
2018-09-14 00:00:00,N,0,0,,,,,,,,,
2018-09-15 00:00:00,N,0,0,,,,,,,,,
2018-09-16 00:00:00,N,0,0,,,,,,,,,
2018-09-17 00:00:00,N,0,0,,,,,,,,,
2018-09-18 00:00:00,N,0,0,,,,,,,,,
2018-09-19 00:00:00,N,0,0,,,,,,,,,
2018-09-20 00:00:00,N,0,0,,,,,,,,,
2018-09-21 00:00:00,N,0,0,,,,,,,,,
2018-09-22 00:00:00,N,0,0,,,,,,,,,
2018-09-23 00:00:00,N,0,0,,,,,,,,,
2018-09-28 00:00:00,PG,1301.25,1,,,,,,,,,
2018-09-29 00:00:00,N,0,0,,,,,,,,,
